source_text,target_text,source_text_no_stopwords,source_text_stemmed,source_text_lemmatized,target_text_no_stopwords,target_text_stemmed,target_text_lemmatized
i'm just feeling really tired today and don't want to do anything.,i'm deadass drained today and not tryna do nada.,i'm just feeling really tired today don't want,i'm just feel realli tire today don't want,i'm just feeling really tired today don't want,i'm deadass drained today tryna nada,i'm deadass drain today tryna nada,i'm deadass drained today tryna nada
i went to the grocery store to pick up some food.,i hit up the grocery to snag some snacks.,went grocery store pick food,went groceri store pick food,went grocery store pick food,hit grocery snag snacks,hit groceri snag snack,hit grocery snag snack
"i'm really tired today, so i might just stay in and relax.","i'm so drained today, might just chill at home and vibe.",i'm really tired today just stay relax,i'm realli tire today just stay relax,i'm really tired today just stay relax,i'm drained today just chill home vibe,i'm drain today just chill home vibe,i'm drained today just chill home vibe
i'm going to hang out with my friends at the park today.,i'm finna chill with my squad at the park today.,i'm going hang friends park today,i'm go hang friend park today,i'm going hang friend park today,i'm finna chill squad park today,i'm finna chill squad park today,i'm finna chill squad park today
i'm just relaxing at home and binge-watching my favorite show.,"i'm just chillin' at home, binge-watching my fave show, fr fr.",i'm just relaxing home binge watching favorite,i'm just relax home bing watch favorit,i'm just relaxing home binge watching favorite,i'm just chillin home binge watching fave fr fr,i'm just chillin home bing watch fave fr fr,i'm just chillin home binge watching fave fr fr
i think i need to take a break and relax for a bit.,"bruh, i gotta vibe out and chill for a sec.",think need break relax bit,think need break relax bit,think need break relax bit,bruh gotta vibe chill sec,bruh gotta vibe chill sec,bruh gotta vibe chill sec
i'm thinking about going to the park later to relax and maybe grab some ice cream.,"i'm vibing with hitting the park later to chill and maybe snag some ice cream, fr.",i'm thinking going park later relax maybe grab ice cream,i'm think go park later relax mayb grab ice cream,i'm thinking going park later relax maybe grab ice cream,i'm vibing hitting park later chill maybe snag ice cream fr,i'm vibe hit park later chill mayb snag ice cream fr,i'm vibing hitting park later chill maybe snag ice cream fr
i'm just going to grab a quick snack before i start my homework.,i'm just gonna pop a snack real quick before i dive into homework.,i'm just going grab quick snack start homework,i'm just go grab quick snack start homework,i'm just going grab quick snack start homework,i'm just gonna pop snack real quick dive homework,i'm just gonna pop snack real quick dive homework,i'm just gonna pop snack real quick dive homework
"hey, i'm really tired today because i didn't sleep well last night.","hey, i'm so exhausted today 'cause i didn't catch enough z's last night.",hey i'm really tired today didn't sleep night,hey i'm realli tire today didn't sleep night,hey i'm really tired today didn't sleep night,hey i'm exhausted today cause didn't catch z's night,hey i'm exhaust today caus didn't catch z' night,hey i'm exhausted today cause didn't catch z's night
i just finished my homework and i'm so tired.,"just wrapped up my homework and i'm totally drained, fr.",just finished homework i'm tired,just finish homework i'm tire,just finished homework i'm tired,just wrapped homework i'm totally drained fr,just wrap homework i'm total drain fr,just wrapped homework i'm totally drained fr
i'm just tired and want to chill at home today.,"i'm so drained, just tryna vibe solo at my place today.",i'm just tired want chill home today,i'm just tire want chill home today,i'm just tired want chill home today,i'm drained just tryna vibe solo place today,i'm drain just tryna vibe solo place today,i'm drained just tryna vibe solo place today
i'm just going to grab some coffee before school.,"i'm finna yeet some coffee before class, fr fr.",i'm just going grab coffee school,i'm just go grab coffe school,i'm just going grab coffee school,i'm finna yeet coffee class fr fr,i'm finna yeet coffe class fr fr,i'm finna yeet coffee class fr fr
i'm so excited for the concert tonight!,i'm hella stoked for the concert tonight!,i'm excited concert tonight,i'm excit concert tonight,i'm excited concert tonight,i'm hella stoked concert tonight,i'm hella stoke concert tonight,i'm hella stoked concert tonight
"hey, i saw a really cool hoodie at the store today.","yo, i peeped a sick hoodie at the store today, fr fr.",hey saw really cool hoodie store today,hey saw realli cool hoodi store today,hey saw really cool hoodie store today,yo peeped sick hoodie store today fr fr,yo peep sick hoodi store today fr fr,yo peeped sick hoodie store today fr fr
i'm really excited about hanging out with my friends today.,i'm super hyped to chill with my squad today.,i'm really excited hanging friends today,i'm realli excit hang friend today,i'm really excited hanging friend today,i'm super hyped chill squad today,i'm super hype chill squad today,i'm super hyped chill squad today
"hey, i'm just relaxing at home and listening to some music.","yo, i'm just chillin' at my place and vibing to some tunes.",hey i'm just relaxing home listening music,hey i'm just relax home listen music,hey i'm just relaxing home listening music,yo i'm just chillin place vibing tunes,yo i'm just chillin place vibe tune,yo i'm just chillin place vibing tune
"hey, i just got back from school and i'm really tired.","yo, just hit home from school and i'm totally drained, fr.",hey just got school i'm really tired,hey just got school i'm realli tire,hey just got school i'm really tired,yo just hit home school i'm totally drained fr,yo just hit home school i'm total drain fr,yo just hit home school i'm totally drained fr
i went to the coffee shop this morning to get my favorite latte.,i hit up the coffee spot this morning to snag my fave latte.,went coffee shop morning favorite latte,went coffe shop morn favorit latt,went coffee shop morning favorite latte,hit coffee spot morning snag fave latte,hit coffe spot morn snag fave latt,hit coffee spot morning snag fave latte
i'll see you at the coffee shop later.,"catch you at the coffee spot later, fr.",i'll coffee shop later,i'll coffe shop later,i'll coffee shop later,catch coffee spot later fr,catch coffe spot later fr,catch coffee spot later fr
i'm feeling really tired after studying all night.,i'm totally wiped after grindin’ all night on homework.,i'm feeling really tired studying night,i'm feel realli tire studi night,i'm feeling really tired studying night,i'm totally wiped grindin night homework,i'm total wipe grindin night homework,i'm totally wiped grindin night homework
i'm just relaxing and watching some movies today.,i'm just vibing and binge-watching some flicks today.,i'm just relaxing watching movies today,i'm just relax watch movi today,i'm just relaxing watching movie today,i'm just vibing binge watching flicks today,i'm just vibe bing watch flick today,i'm just vibing binge watching flick today
i'm really happy that you came to the party yesterday.,i'm mad hyped you pulled up to the party yesterday!,i'm really happy came party yesterday,i'm realli happi came parti yesterday,i'm really happy came party yesterday,i'm mad hyped pulled party yesterday,i'm mad hype pull parti yesterday,i'm mad hyped pulled party yesterday
"hey, i think we should grab some coffee later.","yo, let’s snag some coffee later, fam.",hey think grab coffee later,hey think grab coffe later,hey think grab coffee later,yo let s snag coffee later fam,yo let s snag coffe later fam,yo let s snag coffee later fam
i'm really tired today after staying up all night.,"i'm hella drained ‘cause i stayed up all night, fr fr.",i'm really tired today staying night,i'm realli tire today stay night,i'm really tired today staying night,i'm hella drained cause stayed night fr fr,i'm hella drain caus stay night fr fr,i'm hella drained cause stayed night fr fr
i'm just relaxing at home right now.,i'm just vibing at home rn.,i'm just relaxing home right,i'm just relax home right,i'm just relaxing home right,i'm just vibing home rn,i'm just vibe home rn,i'm just vibing home rn
i'm heading to the mall to grab some snacks with my friends.,i'm finna hit the mall with my crew to snag some snacks.,i'm heading mall grab snacks friends,i'm head mall grab snack friend,i'm heading mall grab snack friend,i'm finna hit mall crew snag snacks,i'm finna hit mall crew snag snack,i'm finna hit mall crew snag snack
i'm just trying to get through the day without any drama.,"i'm just vibing through the day without any mess, no cap.",i'm just trying day drama,i'm just tri day drama,i'm just trying day drama,i'm just vibing day mess cap,i'm just vibe day mess cap,i'm just vibing day mess cap
i'm just feeling really tired after a long day at work.,"i'm so wiped after a long shift, fr fr.",i'm just feeling really tired long day work,i'm just feel realli tire long day work,i'm just feeling really tired long day work,i'm wiped long shift fr fr,i'm wipe long shift fr fr,i'm wiped long shift fr fr
"hey, do you want to hang out later after school?","yo, wanna kick it after class?",hey want hang later school,hey want hang later school,hey want hang later school,yo wanna kick class,yo wanna kick class,yo wanna kick class
"hey, i’m just going to grab some coffee before work.","yo, i’m about to hit up some caffeine before clocking in.",hey m just going grab coffee work,hey m just go grab coffe work,hey m just going grab coffee work,yo m hit caffeine clocking,yo m hit caffein clock,yo m hit caffeine clocking
"hey, i just saw that new movie everyone's talking about.","yo, just peeped that new flick everyone's buzzing about!",hey just saw new movie everyone's talking,hey just saw new movi everyone' talk,hey just saw new movie everyone's talking,yo just peeped new flick everyone's buzzing,yo just peep new flick everyone' buzz,yo just peeped new flick everyone's buzzing
i'm just hanging out with my friends at the café.,just vibing with my friends at the spot ✌️,i'm just hanging friends caf,i'm just hang friend caf,i'm just hanging friend caf,just vibing friends spot ✌️,just vibe friend spot ✌️,just vibing friend spot ✌️
"hey, i found a new cafe that's really nice to hang out in.","yo, i copped a new spot that's mad chill to vibe at.",hey new cafe that's really nice hang,hey new cafe that' realli nice hang,hey new cafe that's really nice hang,yo copped new spot that's mad chill vibe,yo cop new spot that' mad chill vibe,yo copped new spot that's mad chill vibe
i'm feeling pretty tired today because i didn't get enough sleep.,"i'm dead tired today 'cause i barely slept, fr fr.",i'm feeling pretty tired today didn't sleep,i'm feel pretti tire today didn't sleep,i'm feeling pretty tired today didn't sleep,i'm dead tired today cause barely slept fr fr,i'm dead tire today caus bare slept fr fr,i'm dead tired today cause barely slept fr fr
i'm just going to relax and watch some shows tonight.,"i'm vibing at home, binge-watching some shows tonight.",i'm just going relax watch shows tonight,i'm just go relax watch show tonight,i'm just going relax watch show tonight,i'm vibing home binge watching shows tonight,i'm vibe home bing watch show tonight,i'm vibing home binge watching show tonight
i am really tired today because i didn't sleep well last night.,i'm so dead today 'cause i slept like no cap last night.,really tired today didn't sleep night,realli tire today didn't sleep night,really tired today didn't sleep night,i'm dead today cause slept like cap night,i'm dead today caus slept like cap night,i'm dead today cause slept like cap night
"hey, do you want to grab something to eat together later?","yo, you tryna pow wow and grab some grub l8r?",hey want grab eat later,hey want grab eat later,hey want grab eat later,yo tryna pow wow grab grub l8r,yo tryna pow wow grab grub l8r,yo tryna pow wow grab grub l8r
"hey, i just finished my homework and i'm thinking of hanging out with some friends later.","yo, just wrapped my homework and might chill with the squad later.",hey just finished homework i'm thinking hanging friends later,hey just finish homework i'm think hang friend later,hey just finished homework i'm thinking hanging friend later,yo just wrapped homework chill squad later,yo just wrap homework chill squad later,yo just wrapped homework chill squad later
"i'm really tired today, i just want to relax and do nothing.","i'm so drained today, just wanna chill and do nada.",i'm really tired today just want relax,i'm realli tire today just want relax,i'm really tired today just want relax,i'm drained today just wanna chill nada,i'm drain today just wanna chill nada,i'm drained today just wanna chill nada
i'm just trying to hang out with my friends this weekend.,i’m just tryna vibe with my squad this weekend.,i'm just trying hang friends weekend,i'm just tri hang friend weekend,i'm just trying hang friend weekend,m just tryna vibe squad weekend,m just tryna vibe squad weekend,m just tryna vibe squad weekend
i'm going to grab some coffee at the café.,"i'm about to hit up the coffee shop, fr fr.",i'm going grab coffee caf,i'm go grab coffe caf,i'm going grab coffee caf,i'm hit coffee shop fr fr,i'm hit coffe shop fr fr,i'm hit coffee shop fr fr
i'm just going to relax at home and watch some netflix tonight.,i'm just chillin' at home and vibing with some netflix tonight.,i'm just going relax home watch netflix tonight,i'm just go relax home watch netflix tonight,i'm just going relax home watch netflix tonight,i'm just chillin home vibing netflix tonight,i'm just chillin home vibe netflix tonight,i'm just chillin home vibing netflix tonight
i'm feeling pretty tired today after staying up late last night.,i'm hella drained today ‘cause i stayed up all night smh.,i'm feeling pretty tired today staying late night,i'm feel pretti tire today stay late night,i'm feeling pretty tired today staying late night,i'm hella drained today cause stayed night smh,i'm hella drain today caus stay night smh,i'm hella drained today cause stayed night smh
i really like that new song you recommended to me.,"that new bop you dropped on me is lowkey fire, i’m obsessed!",really like new song recommended,realli like new song recommend,really like new song recommended,new bop dropped lowkey m obsessed,new bop drop lowkey m obsess,new bop dropped lowkey m obsessed
"hey, i just finished my homework and i need a break.","yo, just wrapped my homework and i need a chill sesh.",hey just finished homework need break,hey just finish homework need break,hey just finished homework need break,yo just wrapped homework need chill sesh,yo just wrap homework need chill sesh,yo just wrapped homework need chill sesh
i just got back from shopping and i'm exhausted.,"just hit the mall, and i’m wiped.",just got shopping i'm exhausted,just got shop i'm exhaust,just got shopping i'm exhausted,just hit mall m wiped,just hit mall m wipe,just hit mall m wiped
i'm just trying to finish my homework before going out with friends.,i'm just tryna wrap up my homework before vibing with friends.,i'm just trying finish homework going friends,i'm just tri finish homework go friend,i'm just trying finish homework going friend,i'm just tryna wrap homework vibing friends,i'm just tryna wrap homework vibe friend,i'm just tryna wrap homework vibing friend
i'm feeling pretty tired today after a long week.,"i'm totally drained after a wild long week, lol.",i'm feeling pretty tired today long week,i'm feel pretti tire today long week,i'm feeling pretty tired today long week,i'm totally drained wild long week lol,i'm total drain wild long week lol,i'm totally drained wild long week lol
i'm just taking a walk in the park to relax.,i'm just vibing in the park to chill.,i'm just taking walk park relax,i'm just take walk park relax,i'm just taking walk park relax,i'm just vibing park chill,i'm just vibe park chill,i'm just vibing park chill
i'm going to grab some lunch with my friends this afternoon.,i'm finna squad up for some lunch with my peeps later.,i'm going grab lunch friends afternoon,i'm go grab lunch friend afternoon,i'm going grab lunch friend afternoon,i'm finna squad lunch peeps later,i'm finna squad lunch peep later,i'm finna squad lunch peep later
"hey, are you free this evening to hang out?","yo, you chillin’ tonight? wanna link up?",hey free evening hang,hey free even hang,hey free evening hang,yo chillin tonight wanna link,yo chillin tonight wanna link,yo chillin tonight wanna link
"hey, i really like your new outfit!","yo, your drip is fire, love it!",hey really like new outfit,hey realli like new outfit,hey really like new outfit,yo drip love,yo drip love,yo drip love
i'm going to grab some coffee with my friend later today.,"yo, i'm vibing with my homie for some coffee later, fr!",i'm going grab coffee friend later today,i'm go grab coffe friend later today,i'm going grab coffee friend later today,yo i'm vibing homie coffee later fr,yo i'm vibe homi coffe later fr,yo i'm vibing homie coffee later fr
i was just chilling with my friends at the park.,i was just vibin' with my crew at the park.,just chilling friends park,just chill friend park,just chilling friend park,just vibin crew park,just vibin crew park,just vibin crew park
i'm really tired and just want to stay home today.,i'm deadass exhausted and just wanna chill at home today.,i'm really tired just want stay home today,i'm realli tire just want stay home today,i'm really tired just want stay home today,i'm deadass exhausted just wanna chill home today,i'm deadass exhaust just wanna chill home today,i'm deadass exhausted just wanna chill home today
"hey, i saw you at the park yesterday and you looked really happy.","yo, saw u at the park yesterday, u looked vibing real hard.",hey saw park yesterday looked really happy,hey saw park yesterday look realli happi,hey saw park yesterday looked really happy,yo saw u park yesterday u looked vibing real hard,yo saw u park yesterday u look vibe real hard,yo saw u park yesterday u looked vibing real hard
i'm really tired after a long day and just want to relax.,i'm totally drained after a long day and just wanna chill.,i'm really tired long day just want relax,i'm realli tire long day just want relax,i'm really tired long day just want relax,i'm totally drained long day just wanna chill,i'm total drain long day just wanna chill,i'm totally drained long day just wanna chill
i went to the park yesterday and saw a lot of people having fun.,i hit up the park yesterday and saw a bunch of peeps vibing and having a good time.,went park yesterday saw lot people having fun,went park yesterday saw lot peopl have fun,went park yesterday saw lot people having fun,hit park yesterday saw bunch peeps vibing having good time,hit park yesterday saw bunch peep vibe have good time,hit park yesterday saw bunch peep vibing having good time
i'm thinking of grabbing some coffee before work.,"gonna snag a coffee before clockin' in, lol.",i'm thinking grabbing coffee work,i'm think grab coffe work,i'm thinking grabbing coffee work,gonna snag coffee clockin lol,gonna snag coffe clockin lol,gonna snag coffee clockin lol
i'm just going to grab some coffee and then go home and relax.,just finna get some coffee and then dip home to chill. ✌️,i'm just going grab coffee home relax,i'm just go grab coffe home relax,i'm just going grab coffee home relax,just finna coffee dip home chill ✌️,just finna coffe dip home chill ✌️,just finna coffee dip home chill ✌️
i'm just ready to relax and watch some movies tonight.,i'm just vibing to chill and binge some movies tonight.,i'm just ready relax watch movies tonight,i'm just readi relax watch movi tonight,i'm just ready relax watch movie tonight,i'm just vibing chill binge movies tonight,i'm just vibe chill bing movi tonight,i'm just vibing chill binge movie tonight
i'm really tired after walking around the mall all afternoon.,"i'm so drained 'cause i spent the whole day roaming the mall, lol.",i'm really tired walking mall afternoon,i'm realli tire walk mall afternoon,i'm really tired walking mall afternoon,i'm drained cause spent day roaming mall lol,i'm drain caus spent day roam mall lol,i'm drained cause spent day roaming mall lol
i'm just going to hang out with my friends tomorrow evening.,i'm just vibing with my squad tomorrow night.,i'm just going hang friends tomorrow evening,i'm just go hang friend tomorrow even,i'm just going hang friend tomorrow evening,i'm just vibing squad tomorrow night,i'm just vibe squad tomorrow night,i'm just vibing squad tomorrow night
i'm going to the supermarket to buy some snacks.,i'm heckin' slide to the store to grab some munchies.,i'm going supermarket buy snacks,i'm go supermarket buy snack,i'm going supermarket buy snack,i'm heckin slide store grab munchies,i'm heckin slide store grab munchi,i'm heckin slide store grab munchies
i'm going to grab some coffee with my friend this afternoon.,gonna catch some coffee with my peep later.,i'm going grab coffee friend afternoon,i'm go grab coffe friend afternoon,i'm going grab coffee friend afternoon,gonna catch coffee peep later,gonna catch coffe peep later,gonna catch coffee peep later
"hey, i just finished my homework and i'm so ready to chill now.","yo, just wrapped my homework and i'm vibing to relax now.",hey just finished homework i'm ready chill,hey just finish homework i'm readi chill,hey just finished homework i'm ready chill,yo just wrapped homework i'm vibing relax,yo just wrap homework i'm vibe relax,yo just wrapped homework i'm vibing relax
i'm feeling really tired today because i stayed up late last night.,i'm dead tired today 'cause i pulled an all-nighter last night.,i'm feeling really tired today stayed late night,i'm feel realli tire today stay late night,i'm feeling really tired today stayed late night,i'm dead tired today cause pulled nighter night,i'm dead tire today caus pull nighter night,i'm dead tired today cause pulled nighter night
"hey, could you send me the notes from yesterday’s meeting?","yo, can you send me the deets from yesterday’s meet? thanks fam!",hey send notes yesterday s meeting,hey send note yesterday s meet,hey send note yesterday s meeting,yo send deets yesterday s meet thanks fam,yo send deet yesterday s meet thank fam,yo send deets yesterday s meet thanks fam
"it's really hot outside today, so i think i'll stay indoors.","it's mad hot out today, so i’m just chillin' inside.",it's really hot outside today think i'll stay indoors,it' realli hot outsid today think i'll stay indoor,it's really hot outside today think i'll stay indoors,it's mad hot today m just chillin inside,it' mad hot today m just chillin insid,it's mad hot today m just chillin inside
i'm just going to relax and watch some tv.,i'm just chillin' and vibing with some tv.,i'm just going relax watch tv,i'm just go relax watch tv,i'm just going relax watch tv,i'm just chillin vibing tv,i'm just chillin vibe tv,i'm just chillin vibing tv
i'm just going to relax and watch some tv now.,i'm just chillin’ and vibing with some shows now.,i'm just going relax watch tv,i'm just go relax watch tv,i'm just going relax watch tv,i'm just chillin vibing shows,i'm just chillin vibe show,i'm just chillin vibing show
i'm just relaxing at home and listening to some music.,"just chillin' at my crib, vibing with some tunes.",i'm just relaxing home listening music,i'm just relax home listen music,i'm just relaxing home listening music,just chillin crib vibing tunes,just chillin crib vibe tune,just chillin crib vibing tune
i think i should probably get some sleep now.,"lowkey, i gotta dip and catch some z's soon.",think probably sleep,think probabl sleep,think probably sleep,lowkey gotta dip catch z's soon,lowkey gotta dip catch z' soon,lowkey gotta dip catch z's soon
"hey, did you see my new phone? it's pretty cool.","yo, did you peep my new phone? it's mad sick.",hey did new phone it's pretty cool,hey did new phone it' pretti cool,hey did new phone it's pretty cool,yo did peep new phone it's mad sick,yo did peep new phone it' mad sick,yo did peep new phone it's mad sick
"hey, do you want to grab dinner after work?","yo, wanna hit up a dinner sesh after work?",hey want grab dinner work,hey want grab dinner work,hey want grab dinner work,yo wanna hit dinner sesh work,yo wanna hit dinner sesh work,yo wanna hit dinner sesh work
"hey, do you want to go grab some coffee after work?","yo, wanna hit up coffee after work? ✨",hey want grab coffee work,hey want grab coffe work,hey want grab coffee work,yo wanna hit coffee work ✨,yo wanna hit coffe work ✨,yo wanna hit coffee work ✨
i'm just feeling really tired today and don't want to go out.,"i'm hella drained today, i lowkey don't wanna step out.",i'm just feeling really tired today don't want,i'm just feel realli tire today don't want,i'm just feeling really tired today don't want,i'm hella drained today lowkey don't wanna step,i'm hella drain today lowkey don't wanna step,i'm hella drained today lowkey don't wanna step
"i got the job today, which is a major success.","got the job today, big w!",got job today major success,got job today major success,got job today major success,got job today big w,got job today big w,got job today big w
"i forgot my wallet at home, which is unfortunate.","i forgot my wallet at home, that's an l.",forgot wallet home unfortunate,forgot wallet home unfortun,forgot wallet home unfortunate,forgot wallet home that's l,forgot wallet home that' l,forgot wallet home that's l
your tweet received 5 likes and 100 replies criticizing you.,your tweet got 5 likes and 100 replies calling you out. l + ratio.,tweet received 5 likes 100 replies criticizing,tweet receiv 5 like 100 repli critic,tweet received 5 like 100 reply criticizing,tweet got 5 likes 100 replies calling l ratio,tweet got 5 like 100 repli call l ratio,tweet got 5 like 100 reply calling l ratio
that meme is very funny.,that meme is so dank!,meme funny,meme funni,meme funny,meme dank,meme dank,meme dank
"that phrase is outdated, and no one says it anymore.","that phrase is so cheugy, no one says that anymore.",phrase outdated says anymore,phrase outdat say anymor,phrase outdated say anymore,phrase cheugy says anymore,phrase cheugi say anymor,phrase cheugy say anymore
that feeling when you finish a major project and can finally relax.,tfw you finish a big project and can finally relax,feeling finish major project finally relax,feel finish major project final relax,feeling finish major project finally relax,tfw finish big project finally relax,tfw finish big project final relax,tfw finish big project finally relax
he is very socially aware about climate change.,he's really woke about climate change.,socially aware climate change,social awar climat chang,socially aware climate change,he's really woke climate change,he' realli woke climat chang,he's really woke climate change
this new song is excellent.,this new track is a total bop!,new song excellent,new song excel,new song excellent,new track total bop,new track total bop,new track total bop
michael jordan is considered the greatest basketball player of all time.,michael jordan is the goat of basketball.,michael jordan considered greatest basketball player time,michael jordan consid greatest basketbal player time,michael jordan considered greatest basketball player time,michael jordan goat basketball,michael jordan goat basketbal,michael jordan goat basketball
look at that small puppy; it is adorable.,"look at that smol puppy, it's adorable!",look small puppy adorable,look small puppi ador,look small puppy adorable,look smol puppy it's adorable,look smol puppi it' ador,look smol puppy it's adorable
"hello, my friend. it has been a long time since we last met.","what's good, fam? long time no see!",hello friend long time met,hello friend long time met,hello friend long time met,what's good fam long time,what' good fam long time,what's good fam long time
she has improved significantly in appearance since high school.,she really had a glow up since high school.,improved significantly appearance high school,improv significantli appear high school,improved significantly appearance high school,really glow high school,realli glow high school,really glow high school
i am a huge fan of bts.,i stan bts so hard!,huge fan bts,huge fan bt,huge fan bts,stan bts hard,stan bt hard,stan bts hard
"we talked for weeks, and then she suddenly stopped communicating with me.","we were talking for weeks, and then she just ghosted me.",talked weeks suddenly stopped communicating,talk week suddenli stop commun,talked week suddenly stopped communicating,talking weeks just ghosted,talk week just ghost,talking week just ghosted
he is upset because he lost the game.,he's just salty because he lost the game,upset lost game,upset lost game,upset lost game,he's just salty lost game,he' just salti lost game,he's just salty lost game
i am just here to observe the gossip and drama.,i'm just here to sip tea and watch the drama unfold.,just observe gossip drama,just observ gossip drama,just observe gossip drama,i'm just sip tea watch drama unfold,i'm just sip tea watch drama unfold,i'm just sip tea watch drama unfold
his fashion style today is excellent.,his drip today is on point.,fashion style today excellent,fashion style today excel,fashion style today excellent,drip today point,drip today point,drip today point
"that hidden message in the movie was iconic. if you know, you know.",that hidden message in the movie was iconic. iykyk.,hidden message movie iconic know know,hidden messag movi icon know know,hidden message movie iconic know know,hidden message movie iconic iykyk,hidden messag movi icon iykyk,hidden message movie iconic iykyk
i cannot stop thinking about that song.,that song is living rent-free in my head,stop thinking song,stop think song,stop thinking song,song living rent free head,song live rent free head,song living rent free head
"if you continue speaking like that, you are going to face consequences.","if you keep talking like that, you're gonna catch these hands.",continue speaking like going face consequences,continu speak like go face consequ,continue speaking like going face consequence,talking like you're gonna catch hands,talk like you'r gonna catch hand,talking like you're gonna catch hand
she harshly criticized him for his terrible performance.,she dragged him for his terrible performance.,harshly criticized terrible performance,harshli critic terribl perform,harshly criticized terrible performance,dragged terrible performance,drag terribl perform,dragged terrible performance
this pizza is very delicious.,this pizza is bussin'!,pizza delicious,pizza delici,pizza delicious,pizza bussin,pizza bussin,pizza bussin
her makeup looked flawless at the event.,her makeup was snatched at the event.,makeup looked flawless event,makeup look flawless event,makeup looked flawless event,makeup snatched event,makeup snatch event,makeup snatched event
people are saying he is being publicly rejected after those comments.,people are saying he's canceled after those comments.,people saying publicly rejected comments,peopl say publicli reject comment,people saying publicly rejected comment,people saying he's canceled comments,peopl say he' cancel comment,people saying he's canceled comment
"for goodness’ sake, why is this meeting taking so long?","ffs, why is this meeting taking so long?",goodness sake meeting taking long,good sake meet take long,goodness sake meeting taking long,ffs meeting taking long,ff meet take long,ffs meeting taking long
he dresses like an emo boy with those black nails and chains.,h's such an e-boy with those black nails and chains.,dresses like emo boy black nails chains,dress like emo boy black nail chain,dress like emo boy black nail chain,h's e boy black nails chains,h' e boy black nail chain,h's e boy black nail chain
she dresses like an electronic girl with her neon eyeliner and platform shoes.,she's such an e-girl with her neon eyeliner and platform boots.,dresses like electronic girl neon eyeliner platform shoes,dress like electron girl neon eyelin platform shoe,dress like electronic girl neon eyeliner platform shoe,she's e girl neon eyeliner platform boots,she' e girl neon eyelin platform boot,she's e girl neon eyeliner platform boot
she wore the same dress as the bride at the wedding.,she wore the same dress as the bride at the wedding? big yikes.,wore dress bride wedding,wore dress bride wed,wore dress bride wedding,wore dress bride wedding big yikes,wore dress bride wed big yike,wore dress bride wedding big yikes
i am about to leave.,i'm finna head out.,leave,leav,leave,i'm finna head,i'm finna head,i'm finna head
"he said he is a millionaire, but that is a lie.","he said he's a millionaire, but that's cap.",said millionaire lie,said millionair lie,said millionaire lie,said he's millionaire that's cap,said he' millionair that' cap,said he's millionaire that's cap
i strongly enjoy this song.,i high-key love this song.,strongly enjoy song,strongli enjoy song,strongly enjoy song,high key love song,high key love song,high key love song
he buys her gifts every day; he is excessively devoted to her.,"he buys her gifts every day, he's such a simp.",buys gifts day excessively devoted,buy gift day excess devot,buy gift day excessively devoted,buys gifts day he's simp,buy gift day he' simp,buy gift day he's simp
that outfit is very exaggerated and stylish in an artistic way.,"that outfit is so camp, it's amazing.",outfit exaggerated stylish artistic way,outfit exagger stylish artist way,outfit exaggerated stylish artistic way,outfit camp it's amazing,outfit camp it' amaz,outfit camp it's amazing
he arrived at the party looking extremely attractive.,he showed up to the party looking like a whole snack.,arrived party looking extremely attractive,arriv parti look extrem attract,arrived party looking extremely attractive,showed party looking like snack,show parti look like snack,showed party looking like snack
you are being far too dramatic right now; calm down.,"you're being way too extra right now, take several seats.",far dramatic right calm,far dramat right calm,far dramatic right calm,you're way extra right seats,you'r way extra right seat,you're way extra right seat
that is a large amount of money.,"sheesh, that's a lot of money!",large money,larg money,large money,sheesh that's lot money,sheesh that' lot money,sheesh that's lot money
this song sounds especially good at night.,this song hits different at night.,song sounds especially good night,song sound especi good night,song sound especially good night,song hits different night,song hit differ night,song hit different night
do you want to meet at 6? okay.,you want to meet at 6? bet.,want meet 6 okay,want meet 6 okay,want meet 6 okay,want meet 6 bet,want meet 6 bet,want meet 6 bet
"that is the best movie of all time, without question.","that's the best movie of all time, periodt.",best movie time question,best movi time question,best movie time question,that's best movie time periodt,that' best movi time periodt,that's best movie time periodt
he cleverly managed to get into the vip section.,he finessed his way into the vip section.,cleverly managed vip section,cleverli manag vip section,cleverly managed vip section,finessed way vip section,finess way vip section,finessed way vip section
that joke was extremely weak.,that joke had me weak!,joke extremely weak,joke extrem weak,joke extremely weak,joke weak,joke weak,joke weak
she is living her life as though she is the protagonist in a film.,she's living her life like she's the main character in a movie.,living life protagonist film,live life protagonist film,living life protagonist film,she's living life like she's main character movie,she' live life like she' main charact movi,she's living life like she's main character movie
you look amazing in that outfit.,"sis, you are killing it in that outfit!",look amazing outfit,look amaz outfit,look amazing outfit,sis killing outfit,si kill outfit,si killing outfit
that meme is making me laugh a lot.,that meme is sending me!,meme making laugh lot,meme make laugh lot,meme making laugh lot,meme sending,meme send,meme sending
i am trying to save up this money before the weekend.,i'm trying to stack up this gaup before the weekend.,trying save money weekend,tri save money weekend,trying save money weekend,i'm trying stack gaup weekend,i'm tri stack gaup weekend,i'm trying stack gaup weekend
that outfit is not good at all.,"that outfit? this ain't it, chief.",outfit good,outfit good,outfit good,outfit ain't chief,outfit ain't chief,outfit ain't chief
she brought far too many belongings for a weekend trip.,"she brought a whole suitcase for a weekend trip, she's so extra.",brought far belongings weekend trip,brought far belong weekend trip,brought far belonging weekend trip,brought suitcase weekend trip she's extra,brought suitcas weekend trip she' extra,brought suitcase weekend trip she's extra
